Daemon Prince of Nurgle
Enemy Stats (T/SV/INV/W),Daemonic Axe,Hellforged Sword,Malefic Talons X2,
6/4/5/3,6.26543,7.56173,7.56173,
6/4/5/4,6.26543,7.56173,7.56173,
6/4/5/5,6.26543,7.56173,7.56173,
6/4/5/6,6.26543,7.56173,7.56173,
6/4/6/1,2.83565,3.37577,4.72608,
6/4/6/2,5.6713,6.75154,9.45216,
6/4/6/3,7.83179,9.45216,9.45216,
6/4/6/4,7.83179,9.45216,9.45216,
6/4/6/5,7.83179,9.45216,9.45216,
6/4/6/6,7.83179,9.45216,9.45216,
6/4/7/1,3.26775,3.37577,4.72608,
6/4/7/2,6.53549,6.75154,9.45216,
6/4/7/3,9.12809,9.45216,9.45216,
6/4/7/4,9.12809,9.45216,9.45216,
6/4/7/5,9.12809,9.45216,9.45216,
6/4/7/6,9.12809,9.45216,9.45216,
6/5/5/1,2.26852,2.70062,3.78086,
6/5/5/2,4.53704,5.40123,7.56173,
6/5/5/3,6.26543,7.56173,7.56173,
6/5/5/4,6.26543,7.56173,7.56173,
6/5/5/5,6.26543,7.56173,7.56173,
6/5/5/6,6.26543,7.56173,7.56173,
6/5/6/1,2.83565,3.37577,4.72608,
6/5/6/2,5.6713,6.75154,9.45216,
6/5/6/3,7.83179,9.45216,9.45216,
6/5/6/4,7.83179,9.45216,9.45216,
6/5/6/5,7.83179,9.45216,9.45216,
6/5/6/6,7.83179,9.45216,9.45216,
6/5/7/1,3.40278,4.05093,5.6713,
6/5/7/2,6.80556,8.10185,11.3426,
6/5/7/3,9.39815,11.3426,11.3426,
6/5/7/4,9.39815,11.3426,11.3426,
6/5/7/5,9.39815,11.3426,11.3426,
6/5/7/6,9.39815,11.3426,11.3426,
6/6/6/1,2.83565,3.37577,4.72608,
6/6/6/2,5.6713,6.75154,9.45216,
6/6/6/3,7.83179,9.45216,9.45216,
6/6/6/4,7.83179,9.45216,9.45216,
6/6/6/5,7.83179,9.45216,9.45216,
6/6/6/6,7.83179,9.45216,9.45216,
6/6/7/1,3.40278,4.05093,5.6713,
6/6/7/2,6.80556,8.10185,11.3426,
6/6/7/3,9.39815,11.3426,11.3426,
6/6/7/4,9.39815,11.3426,11.3426,
6/6/7/5,9.39815,11.3426,11.3426,
6/6/7/6,9.39815,11.3426,11.3426,
6/7/7/1,3.40278,4.05093,5.6713,
6/7/7/2,6.80556,8.10185,11.3426,
6/7/7/3,9.39815,11.3426,11.3426,
6/7/7/4,9.39815,11.3426,11.3426,
6/7/7/5,9.39815,11.3426,11.3426,
6/7/7/6,9.39815,11.3426,11.3426,
7/2/2/1,0.56713,0.675154,0.945216,
7/2/2/2,1.13426,1.35031,1.89043,
7/2/2/3,1.56636,1.89043,1.89043,
7/2/2/4,1.56636,1.89043,1.89043,
7/2/2/5,1.56636,1.89043,1.89043,
7/2/2/6,1.56636,1.89043,1.89043,
7/2/3/1,1.13426,1.35031,1.89043,
7/2/3/2,2.26852,2.70062,3.78086,
7/2/3/3,3.13272,3.78086,3.78086,
7/2/3/4,3.13272,3.78086,3.78086,
7/2/3/5,3.13272,3.78086,3.78086,
7/2/3/6,3.13272,3.78086,3.78086,
7/2/4/1,1.70139,2.02546,2.83565,
7/2/4/2,3.40278,4.05093,5.6713,
7/2/4/3,4.69907,5.6713,5.6713,
7/2/4/4,4.69907,5.6713,5.6713,
7/2/4/5,4.69907,5.6713,5.6713,
7/2/4/6,4.69907,5.6713,5.6713,
7/2/5/1,2.13349,2.02546,2.83565,
7/2/5/2,4.26698,4.05093,5.6713,
7/2/5/3,5.99537,5.6713,5.6713,
7/2/5/4,5.99537,5.6713,5.6713,
7/2/5/5,5.99537,5.6713,5.6713,
7/2/5/6,5.99537,5.6713,5.6713,
7/2/6/1,2.13349,2.02546,2.83565,
7/2/6/2,4.26698,4.05093,5.6713,
7/2/6/3,5.99537,5.6713,5.6713,
7/2/6/4,5.99537,5.6713,5.6713,
7/2/6/5,5.99537,5.6713,5.6713,
7/2/6/6,5.99537,5.6713,5.6713,
7/2/7/1,2.13349,2.02546,2.83565,
7/2/7/2,4.26698,4.05093,5.6713,
7/2/7/3,5.99537,5.6713,5.6713,
7/2/7/4,5.99537,5.6713,5.6713,
7/2/7/5,5.99537,5.6713,5.6713,
7/2/7/6,5.99537,5.6713,5.6713,
7/3/3/1,1.13426,1.35031,1.89043,
7/3/3/2,2.26852,2.70062,3.78086,
7/3/3/3,3.13272,3.78086,3.78086,
7/3/3/4,3.13272,3.78086,3.78086,
7/3/3/5,3.13272,3.78086,3.78086,
7/3/3/6,3.13272,3.78086,3.78086,
7/3/4/1,1.70139,2.02546,2.83565,
7/3/4/2,3.40278,4.05093,5.6713,
7/3/4/3,4.69907,5.6713,5.6713,
7/3/4/4,4.69907,5.6713,5.6713,
7/3/4/5,4.69907,5.6713,5.6713,
7/3/4/6,4.69907,5.6713,5.6713,
7/3/5/1,2.26852,2.70062,3.78086,
7/3/5/2,4.53704,5.40123,7.56173,
7/3/5/3,6.26543,7.56173,7.56173,
7/3/5/4,6.26543,7.56173,7.56173,
7/3/5/5,6.26543,7.56173,7.56173,
7/3/5/6,6.26543,7.56173,7.56173,
7/3/6/1,2.70062,2.70062,3.78086,
7/3/6/2,5.40123,5.40123,7.56173,
7/3/6/3,7.56173,7.56173,7.56173,
7/3/6/4,7.56173,7.56173,7.56173,
7/3/6/5,7.56173,7.56173,7.56173,
7/3/6/6,7.56173,7.56173,7.56173,
7/3/7/1,2.70062,2.70062,3.78086,
7/3/7/2,5.40123,5.40123,7.56173,
7/3/7/3,7.56173,7.56173,7.56173,
7/3/7/4,7.56173,7.56173,7.56173,
7/3/7/5,7.56173,7.56173,7.56173,
7/3/7/6,7.56173,7.56173,7.56173,
7/4/4/1,1.70139,2.02546,2.83565,
7/4/4/2,3.40278,4.05093,5.6713,
7/4/4/3,4.69907,5.6713,5.6713,
7/4/4/4,4.69907,5.6713,5.6713,
7/4/4/5,4.69907,5.6713,5.6713,
7/4/4/6,4.69907,5.6713,5.6713,
7/4/5/1,2.26852,2.70062,3.78086,
7/4/5/2,4.53704,5.40123,7.56173,
7/4/5/3,6.26543,7.56173,7.56173,
7/4/5/4,6.26543,7.56173,7.56173,
7/4/5/5,6.26543,7.56173,7.56173,
7/4/5/6,6.26543,7.56173,7.56173,
7/4/6/1,2.83565,3.37577,4.72608,
7/4/6/2,5.6713,6.75154,9.45216,
7/4/6/3,7.83179,9.45216,9.45216,
7/4/6/4,7.83179,9.45216,9.45216,
7/4/6/5,7.83179,9.45216,9.45216,
7/4/6/6,7.83179,9.45216,9.45216,
7/4/7/1,3.26775,3.37577,4.72608,
7/4/7/2,6.53549,6.75154,9.45216,
7/4/7/3,9.12809,9.45216,9.45216,
7/4/7/4,9.12809,9.45216,9.45216,
7/4/7/5,9.12809,9.45216,9.45216,
7/4/7/6,9.12809,9.45216,9.45216,
7/5/5/1,2.26852,2.70062,3.78086,
7/5/5/2,4.53704,5.40123,7.56173,
7/5/5/3,6.26543,7.56173,7.56173,
7/5/5/4,6.26543,7.56173,7.56173,
7/5/5/5,6.26543,7.56173,7.56173,
7/5/5/6,6.26543,7.56173,7.56173,
7/5/6/1,2.83565,3.37577,4.72608,
7/5/6/2,5.6713,6.75154,9.45216,
7/5/6/3,7.83179,9.45216,9.45216,
7/5/6/4,7.83179,9.45216,9.45216,
7/5/6/5,7.83179,9.45216,9.45216,
7/5/6/6,7.83179,9.45216,9.45216,
7/5/7/1,3.40278,4.05093,5.6713,
7/5/7/2,6.80556,8.10185,11.3426,
7/5/7/3,9.39815,11.3426,11.3426,
7/5/7/4,9.39815,11.3426,11.3426,
7/5/7/5,9.39815,11.3426,11.3426,
7/5/7/6,9.39815,11.3426,11.3426,
7/6/6/1,2.83565,3.37577,4.72608,
7/6/6/2,5.6713,6.75154,9.45216,
7/6/6/3,7.83179,9.45216,9.45216,
7/6/6/4,7.83179,9.45216,9.45216,
7/6/6/5,7.83179,9.45216,9.45216,
7/6/6/6,7.83179,9.45216,9.45216,
7/6/7/1,3.40278,4.05093,5.6713,
7/6/7/2,6.80556,8.10185,11.3426,
7/6/7/3,9.39815,11.3426,11.3426,
7/6/7/4,9.39815,11.3426,11.3426,
7/6/7/5,9.39815,11.3426,11.3426,
7/6/7/6,9.39815,11.3426,11.3426,
7/7/7/1,3.40278,4.05093,5.6713,
7/7/7/2,6.80556,8.10185,11.3426,
7/7/7/3,9.39815,11.3426,11.3426,
7/7/7/4,9.39815,11.3426,11.3426,
7/7/7/5,9.39815,11.3426,11.3426,
7/7/7/6,9.39815,11.3426,11.3426,
8/2/2/1,0.56713,0.675154,0.945216,
8/2/2/2,1.13426,1.35031,1.89043,
8/2/2/3,1.56636,1.89043,1.89043,
8/2/2/4,1.56636,1.89043,1.89043,
8/2/2/5,1.56636,1.89043,1.89043,
8/2/2/6,1.56636,1.89043,1.89043,
8/2/3/1,1.13426,1.35031,1.89043,
8/2/3/2,2.26852,2.70062,3.78086,
8/2/3/3,3.13272,3.78086,3.78086,
8/2/3/4,3.13272,3.78086,3.78086,
8/2/3/5,3.13272,3.78086,3.78086,
8/2/3/6,3.13272,3.78086,3.78086,
8/2/4/1,1.70139,2.02546,2.83565,
8/2/4/2,3.40278,4.05093,5.6713,
8/2/4/3,4.69907,5.6713,5.6713,
8/2/4/4,4.69907,5.6713,5.6713,
8/2/4/5,4.69907,5.6713,5.6713,
8/2/4/6,4.69907,5.6713,5.6713,
8/2/5/1,2.13349,2.02546,2.83565,
8/2/5/2,4.26698,4.05093,5.6713,
8/2/5/3,5.99537,5.6713,5.6713,
8/2/5/4,5.99537,5.6713,5.6713,
8/2/5/5,5.99537,5.6713,5.6713,
8/2/5/6,5.99537,5.6713,5.6713,
8/2/6/1,2.13349,2.02546,2.83565,
8/2/6/2,4.26698,4.05093,5.6713,
8/2/6/3,5.99537,5.6713,5.6713,
8/2/6/4,5.99537,5.6713,5.6713,
8/2/6/5,5.99537,5.6713,5.6713,
8/2/6/6,5.99537,5.6713,5.6713,
8/2/7/1,2.13349,2.02546,2.83565,
8/2/7/2,4.26698,4.05093,5.6713,
8/2/7/3,5.99537,5.6713,5.6713,
8/2/7/4,5.99537,5.6713,5.6713,
8/2/7/5,5.99537,5.6713,5.6713,
8/2/7/6,5.99537,5.6713,5.6713,
8/3/3/1,1.13426,1.35031,1.89043,
8/3/3/2,2.26852,2.70062,3.78086,
8/3/3/3,3.13272,3.78086,3.78086,
8/3/3/4,3.13272,3.78086,3.78086,
8/3/3/5,3.13272,3.78086,3.78086,
8/3/3/6,3.13272,3.78086,3.78086,
8/3/4/1,1.70139,2.02546,2.83565,
8/3/4/2,3.40278,4.05093,5.6713,
8/3/4/3,4.69907,5.6713,5.6713,
8/3/4/4,4.69907,5.6713,5.6713,
8/3/4/5,4.69907,5.6713,5.6713,
8/3/4/6,4.69907,5.6713,5.6713,
8/3/5/1,2.26852,2.70062,3.78086,
8/3/5/2,4.53704,5.40123,7.56173,
8/3/5/3,6.26543,7.56173,7.56173,
8/3/5/4,6.26543,7.56173,7.56173,
8/3/5/5,6.26543,7.56173,7.56173,
8/3/5/6,6.26543,7.56173,7.56173,
8/3/6/1,2.70062,2.70062,3.78086,
8/3/6/2,5.40123,5.40123,7.56173,
8/3/6/3,7.56173,7.56173,7.56173,
8/3/6/4,7.56173,7.56173,7.56173,
8/3/6/5,7.56173,7.56173,7.56173,
8/3/6/6,7.56173,7.56173,7.56173,
8/3/7/1,2.70062,2.70062,3.78086,
8/3/7/2,5.40123,5.40123,7.56173,
8/3/7/3,7.56173,7.56173,7.56173,
8/3/7/4,7.56173,7.56173,7.56173,
8/3/7/5,7.56173,7.56173,7.56173,
8/3/7/6,7.56173,7.56173,7.56173,
8/4/4/1,1.70139,2.02546,2.83565,
8/4/4/2,3.40278,4.05093,5.6713,
8/4/4/3,4.69907,5.6713,5.6713,
8/4/4/4,4.69907,5.6713,5.6713,
8/4/4/5,4.69907,5.6713,5.6713,
8/4/4/6,4.69907,5.6713,5.6713,
8/4/5/1,2.26852,2.70062,3.78086,
8/4/5/2,4.53704,5.40123,7.56173,
8/4/5/3,6.26543,7.56173,7.56173,
8/4/5/4,6.26543,7.56173,7.56173,
8/4/5/5,6.26543,7.56173,7.56173,
8/4/5/6,6.26543,7.56173,7.56173,
8/4/6/1,2.83565,3.37577,4.72608,
8/4/6/2,5.6713,6.75154,9.45216,
8/4/6/3,7.83179,9.45216,9.45216,
8/4/6/4,7.83179,9.45216,9.45216,
8/4/6/5,7.83179,9.45216,9.45216,
8/4/6/6,7.83179,9.45216,9.45216,
8/4/7/1,3.26775,3.37577,4.72608,
8/4/7/2,6.53549,6.75154,9.45216,
8/4/7/3,9.12809,9.45216,9.45216,
8/4/7/4,9.12809,9.45216,9.45216,
8/4/7/5,9.12809,9.45216,9.45216,
8/4/7/6,9.12809,9.45216,9.45216,
8/5/5/1,2.26852,2.70062,3.78086,
8/5/5/2,4.53704,5.40123,7.56173,
8/5/5/3,6.26543,7.56173,7.56173,
8/5/5/4,6.26543,7.56173,7.56173,
8/5/5/5,6.26543,7.56173,7.56173,
8/5/5/6,6.26543,7.56173,7.56173,
8/5/6/1,2.83565,3.37577,4.72608,
8/5/6/2,5.6713,6.75154,9.45216,
8/5/6/3,7.83179,9.45216,9.45216,
8/5/6/4,7.83179,9.45216,9.45216,
8/5/6/5,7.83179,9.45216,9.45216,
8/5/6/6,7.83179,9.45216,9.45216,
8/5/7/1,3.40278,4.05093,5.6713,
8/5/7/2,6.80556,8.10185,11.3426,
8/5/7/3,9.39815,11.3426,11.3426,
8/5/7/4,9.39815,11.3426,11.3426,
8/5/7/5,9.39815,11.3426,11.3426,
8/5/7/6,9.39815,11.3426,11.3426,
8/6/6/1,2.83565,3.37577,4.72608,
8/6/6/2,5.6713,6.75154,9.45216,
8/6/6/3,7.83179,9.45216,9.45216,
8/6/6/4,7.83179,9.45216,9.45216,
8/6/6/5,7.83179,9.45216,9.45216,
8/6/6/6,7.83179,9.45216,9.45216,
8/6/7/1,3.40278,4.05093,5.6713,
8/6/7/2,6.80556,8.10185,11.3426,
8/6/7/3,9.39815,11.3426,11.3426,
8/6/7/4,9.39815,11.3426,11.3426,
8/6/7/5,9.39815,11.3426,11.3426,
8/6/7/6,9.39815,11.3426,11.3426,
8/7/7/1,3.40278,4.05093,5.6713,
8/7/7/2,6.80556,8.10185,11.3426,
8/7/7/3,9.39815,11.3426,11.3426,
8/7/7/4,9.39815,11.3426,11.3426,
8/7/7/5,9.39815,11.3426,11.3426,
8/7/7/6,9.39815,11.3426,11.3426,
9/2/2/1,0.56713,0.675154,0.945216,
9/2/2/2,1.13426,1.35031,1.89043,
9/2/2/3,1.56636,1.89043,1.89043,
9/2/2/4,1.56636,1.89043,1.89043,
9/2/2/5,1.56636,1.89043,1.89043,
9/2/2/6,1.56636,1.89043,1.89043,
9/2/3/1,1.13426,1.35031,1.89043,
9/2/3/2,2.26852,2.70062,3.78086,
9/2/3/3,3.13272,3.78086,3.78086,
9/2/3/4,3.13272,3.78086,3.78086,
9/2/3/5,3.13272,3.78086,3.78086,
9/2/3/6,3.13272,3.78086,3.78086,
9/2/4/1,1.70139,2.02546,2.83565,
9/2/4/2,3.40278,4.05093,5.6713,
9/2/4/3,4.69907,5.6713,5.6713,
9/2/4/4,4.69907,5.6713,5.6713,
9/2/4/5,4.69907,5.6713,5.6713,
9/2/4/6,4.69907,5.6713,5.6713,
9/2/5/1,2.13349,2.02546,2.83565,
9/2/5/2,4.26698,4.05093,5.6713,
9/2/5/3,5.99537,5.6713,5.6713,
9/2/5/4,5.99537,5.6713,5.6713,
9/2/5/5,5.99537,5.6713,5.6713,
9/2/5/6,5.99537,5.6713,5.6713,
9/2/6/1,2.13349,2.02546,2.83565,
9/2/6/2,4.26698,4.05093,5.6713,
9/2/6/3,5.99537,5.6713,5.6713,
9/2/6/4,5.99537,5.6713,5.6713,
9/2/6/5,5.99537,5.6713,5.6713,
9/2/6/6,5.99537,5.6713,5.6713,
9/2/7/1,2.13349,2.02546,2.83565,
9/2/7/2,4.26698,4.05093,5.6713,
9/2/7/3,5.99537,5.6713,5.6713,
9/2/7/4,5.99537,5.6713,5.6713,
9/2/7/5,5.99537,5.6713,5.6713,
9/2/7/6,5.99537,5.6713,5.6713,
9/3/3/1,1.13426,1.35031,1.89043,
9/3/3/2,2.26852,2.70062,3.78086,
9/3/3/3,3.13272,3.78086,3.78086,
9/3/3/4,3.13272,3.78086,3.78086,
9/3/3/5,3.13272,3.78086,3.78086,
9/3/3/6,3.13272,3.78086,3.78086,
9/3/4/1,1.70139,2.02546,2.83565,
9/3/4/2,3.40278,4.05093,5.6713,
9/3/4/3,4.69907,5.6713,5.6713,
9/3/4/4,4.69907,5.6713,5.6713,
9/3/4/5,4.69907,5.6713,5.6713,
9/3/4/6,4.69907,5.6713,5.6713,
9/3/5/1,2.26852,2.70062,3.78086,
9/3/5/2,4.53704,5.40123,7.56173,
9/3/5/3,6.26543,7.56173,7.56173,
9/3/5/4,6.26543,7.56173,7.56173,
9/3/5/5,6.26543,7.56173,7.56173,
9/3/5/6,6.26543,7.56173,7.56173,
9/3/6/1,2.70062,2.70062,3.78086,
9/3/6/2,5.40123,5.40123,7.56173,
9/3/6/3,7.56173,7.56173,7.56173,
9/3/6/4,7.56173,7.56173,7.56173,
9/3/6/5,7.56173,7.56173,7.56173,
9/3/6/6,7.56173,7.56173,7.56173,
9/3/7/1,2.70062,2.70062,3.78086,
9/3/7/2,5.40123,5.40123,7.56173,
9/3/7/3,7.56173,7.56173,7.56173,
9/3/7/4,7.56173,7.56173,7.56173,
9/3/7/5,7.56173,7.56173,7.56173,
9/3/7/6,7.56173,7.56173,7.56173,
9/4/4/1,1.70139,2.02546,2.83565,
9/4/4/2,3.40278,4.05093,5.6713,
9/4/4/3,4.69907,5.6713,5.6713,
9/4/4/4,4.69907,5.6713,5.6713,
9/4/4/5,4.69907,5.6713,5.6713,
9/4/4/6,4.69907,5.6713,5.6713,
9/4/5/1,2.26852,2.70062,3.78086,
9/4/5/2,4.53704,5.40123,7.56173,
9/4/5/3,6.26543,7.56173,7.56173,
9/4/5/4,6.26543,7.56173,7.56173,
9/4/5/5,6.26543,7.56173,7.56173,
9/4/5/6,6.26543,7.56173,7.56173,
9/4/6/1,2.83565,3.37577,4.72608,
9/4/6/2,5.6713,6.75154,9.45216,
9/4/6/3,7.83179,9.45216,9.45216,
9/4/6/4,7.83179,9.45216,9.45216,
9/4/6/5,7.83179,9.45216,9.45216,
9/4/6/6,7.83179,9.45216,9.45216,
9/4/7/1,3.26775,3.37577,4.72608,
9/4/7/2,6.53549,6.75154,9.45216,
9/4/7/3,9.12809,9.45216,9.45216,
9/4/7/4,9.12809,9.45216,9.45216,
9/4/7/5,9.12809,9.45216,9.45216,
9/4/7/6,9.12809,9.45216,9.45216,
9/5/5/1,2.26852,2.70062,3.78086,
9/5/5/2,4.53704,5.40123,7.56173,
9/5/5/3,6.26543,7.56173,7.56173,
9/5/5/4,6.26543,7.56173,7.56173,
9/5/5/5,6.26543,7.56173,7.56173,
9/5/5/6,6.26543,7.56173,7.56173,
9/5/6/1,2.83565,3.37577,4.72608,
9/5/6/2,5.6713,6.75154,9.45216,
9/5/6/3,7.83179,9.45216,9.45216,
9/5/6/4,7.83179,9.45216,9.45216,
9/5/6/5,7.83179,9.45216,9.45216,
9/5/6/6,7.83179,9.45216,9.45216,
9/5/7/1,3.40278,4.05093,5.6713,
9/5/7/2,6.80556,8.10185,11.3426,
9/5/7/3,9.39815,11.3426,11.3426,
9/5/7/4,9.39815,11.3426,11.3426,
9/5/7/5,9.39815,11.3426,11.3426,
9/5/7/6,9.39815,11.3426,11.3426,
9/6/6/1,2.83565,3.37577,4.72608,
9/6/6/2,5.6713,6.75154,9.45216,
9/6/6/3,7.83179,9.45216,9.45216,
9/6/6/4,7.83179,9.45216,9.45216,
9/6/6/5,7.83179,9.45216,9.45216,
9/6/6/6,7.83179,9.45216,9.45216,
9/6/7/1,3.40278,4.05093,5.6713,
9/6/7/2,6.80556,8.10185,11.3426,
9/6/7/3,9.39815,11.3426,11.3426,
9/6/7/4,9.39815,11.3426,11.3426,
9/6/7/5,9.39815,11.3426,11.3426,
9/6/7/6,9.39815,11.3426,11.3426,
9/7/7/1,3.40278,4.05093,5.6713,
9/7/7/2,6.80556,8.10185,11.3426,
9/7/7/3,9.39815,11.3426,11.3426,
9/7/7/4,9.39815,11.3426,11.3426,
9/7/7/5,9.39815,11.3426,11.3426,
9/7/7/6,9.39815,11.3426,11.3426,
10/2/2/1,0.56713,0.675154,0.945216,
10/2/2/2,1.13426,1.35031,1.89043,
10/2/2/3,1.56636,1.89043,1.89043,
10/2/2/4,1.56636,1.89043,1.89043,
10/2/2/5,1.56636,1.89043,1.89043,
10/2/2/6,1.56636,1.89043,1.89043,
10/2/3/1,1.13426,1.35031,1.89043,
10/2/3/2,2.26852,2.70062,3.78086,
10/2/3/3,3.13272,3.78086,3.78086,
10/2/3/4,3.13272,3.78086,3.78086,
10/2/3/5,3.13272,3.78086,3.78086,
10/2/3/6,3.13272,3.78086,3.78086,
10/2/4/1,1.70139,2.02546,2.83565,
10/2/4/2,3.40278,4.05093,5.6713,
10/2/4/3,4.69907,5.6713,5.6713,
10/2/4/4,4.69907,5.6713,5.6713,
10/2/4/5,4.69907,5.6713,5.6713,
10/2/4/6,4.69907,5.6713,5.6713,
10/2/5/1,2.13349,2.02546,2.83565,
10/2/5/2,4.26698,4.05093,5.6713,
10/2/5/3,5.99537,5.6713,5.6713,
10/2/5/4,5.99537,5.6713,5.6713,
10/2/5/5,5.99537,5.6713,5.6713,
10/2/5/6,5.99537,5.6713,5.6713,
10/2/6/1,2.13349,2.02546,2.83565,
10/2/6/2,4.26698,4.05093,5.6713,
10/2/6/3,5.99537,5.6713,5.6713,
10/2/6/4,5.99537,5.6713,5.6713,
10/2/6/5,5.99537,5.6713,5.6713,
10/2/6/6,5.99537,5.6713,5.6713,
10/2/7/1,2.13349,2.02546,2.83565,
10/2/7/2,4.26698,4.05093,5.6713,
10/2/7/3,5.99537,5.6713,5.6713,
10/2/7/4,5.99537,5.6713,5.6713,
10/2/7/5,5.99537,5.6713,5.6713,
10/2/7/6,5.99537,5.6713,5.6713,
10/3/3/1,1.13426,1.35031,1.89043,
10/3/3/2,2.26852,2.70062,3.78086,
10/3/3/3,3.13272,3.78086,3.78086,
10/3/3/4,3.13272,3.78086,3.78086,
10/3/3/5,3.13272,3.78086,3.78086,
10/3/3/6,3.13272,3.78086,3.78086,
10/3/4/1,1.70139,2.02546,2.83565,
10/3/4/2,3.40278,4.05093,5.6713,
10/3/4/3,4.69907,5.6713,5.6713,
10/3/4/4,4.69907,5.6713,5.6713,
10/3/4/5,4.69907,5.6713,5.6713,
10/3/4/6,4.69907,5.6713,5.6713,
10/3/5/1,2.26852,2.70062,3.78086,
10/3/5/2,4.53704,5.40123,7.56173,
10/3/5/3,6.26543,7.56173,7.56173,
10/3/5/4,6.26543,7.56173,7.56173,
10/3/5/5,6.26543,7.56173,7.56173,
10/3/5/6,6.26543,7.56173,7.56173,
10/3/6/1,2.70062,2.70062,3.78086,
10/3/6/2,5.40123,5.40123,7.56173,
10/3/6/3,7.56173,7.56173,7.56173,
10/3/6/4,7.56173,7.56173,7.56173,
10/3/6/5,7.56173,7.56173,7.56173,
10/3/6/6,7.56173,7.56173,7.56173,
10/3/7/1,2.70062,2.70062,3.78086,
10/3/7/2,5.40123,5.40123,7.56173,
10/3/7/3,7.56173,7.56173,7.56173,
10/3/7/4,7.56173,7.56173,7.56173,
10/3/7/5,7.56173,7.56173,7.56173,
10/3/7/6,7.56173,7.56173,7.56173,
10/4/4/1,1.70139,2.02546,2.83565,
10/4/4/2,3.40278,4.05093,5.6713,
10/4/4/3,4.69907,5.6713,5.6713,
10/4/4/4,4.69907,5.6713,5.6713,
10/4/4/5,4.69907,5.6713,5.6713,
10/4/4/6,4.69907,5.6713,5.6713,
10/4/5/1,2.26852,2.70062,3.78086,
10/4/5/2,4.53704,5.40123,7.56173,
10/4/5/3,6.26543,7.56173,7.56173,
10/4/5/4,6.26543,7.56173,7.56173,
10/4/5/5,6.26543,7.56173,7.56173,
10/4/5/6,6.26543,7.56173,7.56173,
10/4/6/1,2.83565,3.37577,4.72608,
10/4/6/2,5.6713,6.75154,9.45216,
10/4/6/3,7.83179,9.45216,9.45216,
10/4/6/4,7.83179,9.45216,9.45216,
10/4/6/5,7.83179,9.45216,9.45216,
10/4/6/6,7.83179,9.45216,9.45216,
10/4/7/1,3.26775,3.37577,4.72608,
10/4/7/2,6.53549,6.75154,9.45216,
10/4/7/3,9.12809,9.45216,9.45216,
10/4/7/4,9.12809,9.45216,9.45216,
10/4/7/5,9.12809,9.45216,9.45216,
10/4/7/6,9.12809,9.45216,9.45216,
10/5/5/1,2.26852,2.70062,3.78086,
10/5/5/2,4.53704,5.40123,7.56173,
10/5/5/3,6.26543,7.56173,7.56173,
10/5/5/4,6.26543,7.56173,7.56173,
10/5/5/5,6.26543,7.56173,7.56173,
10/5/5/6,6.26543,7.56173,7.56173,
10/5/6/1,2.83565,3.37577,4.72608,
10/5/6/2,5.6713,6.75154,9.45216,
10/5/6/3,7.83179,9.45216,9.45216,
10/5/6/4,7.83179,9.45216,9.45216,
10/5/6/5,7.83179,9.45216,9.45216,
10/5/6/6,7.83179,9.45216,9.45216,
10/5/7/1,3.40278,4.05093,5.6713,
10/5/7/2,6.80556,8.10185,11.3426,
10/5/7/3,9.39815,11.3426,11.3426,
10/5/7/4,9.39815,11.3426,11.3426,
10/5/7/5,9.39815,11.3426,11.3426,
10/5/7/6,9.39815,11.3426,11.3426,
10/6/6/1,2.83565,3.37577,4.72608,
10/6/6/2,5.6713,6.75154,9.45216,
10/6/6/3,7.83179,9.45216,9.45216,
10/6/6/4,7.83179,9.45216,9.45216,
10/6/6/5,7.83179,9.45216,9.45216,
10/6/6/6,7.83179,9.45216,9.45216,
10/6/7/1,3.40278,4.05093,5.6713,
10/6/7/2,6.80556,8.10185,11.3426,
10/6/7/3,9.39815,11.3426,11.3426,
10/6/7/4,9.39815,11.3426,11.3426,
10/6/7/5,9.39815,11.3426,11.3426,
10/6/7/6,9.39815,11.3426,11.3426,
10/7/7/1,3.40278,4.05093,5.6713,
10/7/7/2,6.80556,8.10185,11.3426,
10/7/7/3,9.39815,11.3426,11.3426,
10/7/7/4,9.39815,11.3426,11.3426,
10/7/7/5,9.39815,11.3426,11.3426,
10/7/7/6,9.39815,11.3426,11.3426,
